x,z,cp,tangential_velocity
9.999979773728084886e-01,1.154115607899897436e-02,9.027252558018385997e-01,-3.118889933905354406e-01
9.999898868952339370e-01,1.154282636535213652e-02,8.545056857200370448e-01,-3.814371695049696420e-01
9.999737060648501430e-01,1.154616691230056502e-02,8.156129049483342719e-01,-4.294031847246427835e-01
9.999494351311852824e-01,1.155117766832890712e-02,7.830632082725847987e-01,-4.657647386046040450e-01
9.999170744685272894e-01,1.155785855616510600e-02,7.548565372452028521e-01,-4.951196448887855706e-01
9.998766245759178606e-01,1.156620947278159950e-02,7.297839831302577185e-01,-5.198230630413990250e-01
9.998280860771440182e-01,1.157623028939692642e-02,7.070828862830029760e-01,-5.412181757082785705e-01
9.997714597207294496e-01,1.158792085147769546e-02,6.862381076276959924e-01,-5.601445281106510743e-01
9.997067463799229614e-01,1.160128097874098263e-02,6.668800835677372030e-01,-5.771654151387302090e-01
9.996339470526840465e-01,1.161631046515709809e-02,6.487302923289206547e-01,-5.926801056818756797e-01
9.995530628616684510e-01,1.163300907895276071e-02,6.315701922280221314e-01,-6.069841907100858025e-01
9.994640950542106328e-01,1.165137656261469243e-02,6.152226628057957392e-01,-6.203042295472473988e-01
9.993670450023038887e-01,1.167141263289358383e-02,5.995407596692767793e-01,-6.328184892453152521e-01
9.992619142025803702e-01,1.169311698080843613e-02,5.844013037774409280e-01,-6.446694472538302412e-01
9.991487042762869919e-01,1.171648927165134732e-02,5.697021877235129983e-01,-6.559708928576686304e-01
9.990274169692607842e-01,1.174152914499269201e-02,5.553629093688878804e-01,-6.668111356532013811e-01
9.988980541519021372e-01,1.176823621468664829e-02,5.413278412425062136e-01,-6.772533933155993058e-01
9.987606178191456019e-01,1.179661006887715823e-02,5.275710858729194541e-01,-6.873346449343874509e-01
9.986151100904296918e-01,1.182665027000428734e-02,5.141010458595853816e-01,-6.970645265256399936e-01
9.984615332096633544e-01,1.185835635481097272e-02,5.009649976419308093e-01,-7.064240952558662467e-01
9.982998895451922206e-01,1.189172783435016659e-02,4.882679500742996836e-01,-7.153544924900523405e-01
9.981301815897614116e-01,1.192676419399237714e-02,4.762747151617939823e-01,-7.236886656831140741e-01
9.979524119604776811e-01,1.196346489343359451e-02,4.659084255531525942e-01,-7.308156911608065798e-01
9.977665833987685584e-01,1.200182936670362785e-02,4.601375266438623157e-01,-7.347533418475465927e-01
9.975788234733977689e-01,1.204905359290320277e-02,4.483841972534446940e-01,-7.427084237751415685e-01
9.973842214847019605e-01,1.210002233422806384e-02,3.440013161075814452e-01,-8.099374567782493539e-01
