x,z
4.988578600000000307e+00,7.850840449999999748e+00
4.986824369999999895e+00,7.851392070000000167e+00
4.986590920000000260e+00,7.853210729999999806e+00
4.985774830000000435e+00,7.855277039999999822e+00
4.985342410000000335e+00,7.855671919999999808e+00
4.972215040000000030e+00,7.861739939999999649e+00
4.954630410000000040e+00,7.869375549999999997e+00
4.948853569999999813e+00,7.871076060000000041e+00
4.917993009999999998e+00,7.879583160000000142e+00
4.899892509999999923e+00,7.884163469999999840e+00
4.890308059999999735e+00,7.886899289999999674e+00
4.867360050000000271e+00,7.891323019999999744e+00
4.850352359999999585e+00,7.894918510000000111e+00
4.794682510000000342e+00,7.905782290000000323e+00
4.780320399999999914e+00,7.908808549999999826e+00
4.763638069999999836e+00,7.911374750000000233e+00
4.748263770000000328e+00,7.913722169999999778e+00
4.710488210000000286e+00,7.923272060000000394e+00
4.695567839999999826e+00,7.926936849999999701e+00
4.661159529999999940e+00,7.938621389999999778e+00
4.651620359999999899e+00,7.941941889999999837e+00
4.636669989999999686e+00,7.947778099999999846e+00
4.620818749999999753e+00,7.953158349999999821e+00
4.603562430000000205e+00,7.960982729999999563e+00
4.585105959999999925e+00,7.967138059999999911e+00
4.574577510000000125e+00,7.972042459999999942e+00
4.551067289999999765e+00,7.981935889999999922e+00
4.544914460000000211e+00,7.984917130000000363e+00
4.539170959999999866e+00,7.987528320000000015e+00
4.516507039999999584e+00,7.996951010000000082e+00
4.504708749999999817e+00,8.002458139999999887e+00
4.479176179999999619e+00,8.016083540000000340e+00
4.454113399999999778e+00,8.026040370000000479e+00
4.426820110000000419e+00,8.035470789999999752e+00
4.413184919999999956e+00,8.039394440000000586e+00
4.358790289999999956e+00,8.053403080000000713e+00
4.308142700000000325e+00,8.064786500000000302e+00
4.279396789999999839e+00,8.071930099999999442e+00
4.199370889999999967e+00,8.091658170000000538e+00
4.192833389999999660e+00,8.093203239999999354e+00
4.182447739999999747e+00,8.095737070000000202e+00
4.144261550000000405e+00,8.103654900000000438e+00
4.127612339999999769e+00,8.106951430000000514e+00
4.103785829999999635e+00,8.111569109999999583e+00
4.084544120000000333e+00,8.115767579999999981e+00
4.054391930000000421e+00,8.121522880000000555e+00
4.005353920000000123e+00,8.131552859999999328e+00
3.989034629999999915e+00,8.133880800000000022e+00
3.976251149999999956e+00,8.135972230000000138e+00
3.961871599999999827e+00,8.138625579999999360e+00
3.904313609999999990e+00,8.147007990000000532e+00
