x,z
5.229027679999999734e+00,8.962166579999999882e+00
5.223439619999999728e+00,8.963320239999999828e+00
5.223421400000000325e+00,8.963368040000000647e+00
5.222740850000000101e+00,8.963514690000000229e+00
5.206680139999999568e+00,8.965330420000000800e+00
5.169698580000000376e+00,8.968705630000000539e+00
5.168449709999999975e+00,8.968846729999999212e+00
5.167409049999999837e+00,8.969005909999999915e+00
5.133596830000000111e+00,8.972014679999999132e+00
5.060579019999999595e+00,8.978040789999999660e+00
5.058233030000000241e+00,8.978333029999999937e+00
4.969676510000000214e+00,8.985353240000000241e+00
4.968986899999999984e+00,8.985409410000000818e+00
4.965558869999999736e+00,8.985822750000000525e+00
4.964197379999999882e+00,8.985939090000000462e+00
4.962363459999999726e+00,8.986091710000000177e+00
4.961061560000000092e+00,8.986201380000000682e+00
4.959326520000000293e+00,8.986346729999999283e+00
4.958719300000000274e+00,8.986397229999999681e+00
4.957709939999999982e+00,8.986484360000000393e+00
4.956227100000000441e+00,8.986610289999999779e+00
4.953271009999999919e+00,8.986862640000000013e+00
4.953025990000000434e+00,8.986883139999999770e+00
4.952964910000000387e+00,8.986888600000000338e+00
4.950895649999999648e+00,8.987061799999999323e+00
4.948254870000000416e+00,8.987362629999999797e+00
4.944929830000000415e+00,8.987602989999999181e+00
4.944008389999999586e+00,8.987653310000000673e+00
4.943157290000000259e+00,8.987726099999999718e+00
4.941628979999999949e+00,8.987857090000000326e+00
4.940574039999999556e+00,8.987947529999999574e+00
4.939773889999999668e+00,8.988014319999999557e+00
4.939129689999999684e+00,8.988069219999999859e+00
4.937658390000000175e+00,8.988196430000000348e+00
4.936411210000000160e+00,8.988304250000000550e+00
4.934699969999999603e+00,8.988452009999999603e+00
4.932614609999999900e+00,8.988634120000000394e+00
4.931760589999999667e+00,8.988708360000000397e+00
4.930868420000000363e+00,8.988785229999999515e+00
4.929978260000000390e+00,8.988864669999999890e+00
4.929433389999999804e+00,8.988912150000000878e+00
4.928847550000000410e+00,8.988964850000000339e+00
4.928067160000000335e+00,8.989035060000000854e+00
4.927911990000000131e+00,8.989047310000000124e+00
4.924066419999999944e+00,8.989364730000000137e+00
4.920334440000000420e+00,8.989803759999999144e+00
4.918479640000000153e+00,8.989880369999999843e+00
4.916658629999999697e+00,8.990151150000000868e+00
4.914867219999999648e+00,8.990420860000000403e+00
4.911137590000000053e+00,8.990696630000000411e+00
4.907358269999999578e+00,8.990990749999999920e+00
4.902493620000000440e+00,8.991534809999999212e+00
4.898202859999999603e+00,8.992040389999999661e+00
4.898146599999999573e+00,8.992047330000000116e+00
4.896637830000000413e+00,8.992226020000000375e+00
